# Glossary in tab-separated format -*- coding: utf-8 -*-
pearóid-duine	parrot-man
cóir	justice/fairness
conradh	contract
ionad	place
uisce	(m.) (1) water; (2) body of water; (3) rain	 tears	 saliva; (4) urine; (5) water for washing; (6) various types of water (e.g.	 cold	 hot	 clean	 sweet	 hard	 soft	 etc.)
geall	1. pledge	 security. 2. wager	 bet.
oileán	island
leithéid	equal/equivalent
cuma	appearance
cúpla	couple
oideachas	education
aois	age
cineál	kind/type
inis	(1) island; (2) inse
líon	full number; complement
páirtí	1. party. 2. Associates	 followers; set	 group	 people
ball	member
lán	fullness
cúirt	1. court. 3. manor-house	 mansion. 4. courtyard
cathair	city
máthair	mother
sampla	sample
doras	door
oifig	office
timpeall	surroundings
bun	base
cos	foot/leg
dún	fort
cáin	1. Lit:(a) Law	 regulation	 rule. (b) Due	 tribute. 2. Fine	 penalty. 3. impost	 tax.
córas	system
post	job
airteagal	article
croí	heart
mórán	a lot of; plenty of; much	 many ["much" and "many" are quantifiers in English	 but "mórán" is a noun	 so functions differently grammatically	 despite being glossed with those words.]
rith	run
barr	top
Dáil	parliament
tréimhse	period
imeacht	event
cúis	reason
réir	order
deis	opportunity
áirithe	1. certainty	 surety. 2. certain quantity. 3. allotment	 portion. 4. {d'áirithe; in áirithe} allotted	 certain. 5. {in áirithe} reserved	 engaged
saothar	work
coiste	committee
aimsir	weather/time
maidin	morning
toradh	result
breis	excess
each	horse	 steed
fuil	blood
tosach	beginning
tuairim	opinion
Béarla	English (language)
láthair	site
ealaín	art
comhlacht	company
domhan	world
dán	poem
caoi	way
meán	medium
tí	1. Lit:(a) Marked line	 track.
sráid	street
gnó	business
tamall	1. Space of time	 while	 spell. 2. short loan. 3. distance.
fíor	truth
seol	sail
iarratas	1. (Act of) asking	 petitioning; begging	 importunity. 2. (formal) application
múinteoir	teacher
cara	friend
seomra	room
dlí	law
iarracht	effort
cúig	five
nós	custom
míle	mile
rí	king
slí	way/path
saor	free man
ann	(1) in phrase: in a state of being able; (2) indicates capability or fitness for a task.
fás	growth
iúl	knowledge
grúpa	group
coláiste	college
fáth	reason
treo	direction
fadhb	problem
sláinte	health
coinne	appointment
cúl	back
sagart	priest
sórt	sort/kind
cead	permission
mír	section/item
bonn	A. sole	 hoof; base	 foundation. B. coin.
íoc	payment
scéim	scheme
seans	chance
fómhar	autumn
cor	(1) turn	 turning movement; (2) agreement	 contract; guarantee	 pledge; (3) tiredness	 exhaustion; (4) lively turn (in music); lively air; (5) reel; (6) cable-stitch
cogadh	war
amhrán	song
lacha	duck
cailín	girl
gaoth	wind
céim	degree/step
bia	food
dream	crowd/group
cumas	ability
tráth	1. Hour; time	 occasion; day	 period.
clann	family
leanbh	child
leas	welfare
fonn	desire
stair	history
críoch	end
brí	meaning
cúram	care
ollscoil	university
ceannas	leadership
loch	lake
athrú	change
leibhéal	level
forbairt	development
cumhacht	power
cumann	1. (a) Friendship	 love; companionship. 3. association
toisc	reason
bád	boat
grá	love
crann	tree
ocht	eight
tacaíocht	support
páirt	part
farraige	sea
cloch	stone
comórtas	comparison. competition.
solas	light
foirm	form
teideal	title
litir	letter
gné	aspect/feature
plean	plan
suim	interest
páirc	park
beatha	life
teaghlach	family
léann	learning/study
bó	cow
mór	1. Great; much	 many. 2. Friendliness. . 3. (a) Pride	 vanity. (b) great person; proud person.
aithne	knowledge
rogha	choice
pointe	point
cuairt	visit
dath	color
im	butter
file	poet
leath	half
laghad	amount/quantity
féile	festival
uasal	(1) nobleman	 gentleman; (2) the noblemen	 the nobility of the country; (3) the good people	 the fairies
lorg	(1) mark	 print; (2) trace	 track; (3) course; (4) succession	 progeny; (5) rear	 rearguard; (6) troop	 company; (7) tracker dog; (8) land formerly cultivated; (9) fallow ridge
aontas	union
clog	clock
gníomh	action
grian	sun
freagra	answer
comhphobal	community
arm	army
buachaill	boy
dáta	date
Domhnach	Sunday [day of the week]
bán	pasture
éigean	necessity/force
amhras	doubt
lár	center/middle
píosa	piece
trácht	[so many headwords] comment
líne	line
ór	gold
seacht	seven
tráthnóna	evening
rang	class
samhradh	summer
dúchas	heritage
turas	journey
tuairisc	report
cuimhne	memory
téarma	term
cuireadh	invitation
beith	birch
riail	rule
Meiriceá	America
fógra	notice/ad
páipéar	paper
beart	action/plan
cabhair	help
sraith	series
treoir	direction
léamh	reading
tine	fire
áireamh	count
corp	body
craobh	branch
oifigeach	officer
mian	desire
cultúr	culture
siopa	shop
amharc	look/view
reacht	statute
intinn	mind
polasaí	policy
capall	horse
scannán	film
gníomhaíocht	activity
bua	victory
údar	(1) m. author	 originator; source	 origin; (2) author	 writer; (3) authority	 expert; (4) authority	 reliable evidence; (5) cause	 reason; (6) 'makings'	 as in the makings of a priest.
leaba	bed
comhalta	member
tuismitheoir	parent
deich	ten
rún	secret
teilifís	television
tagairt	reference
eagla	fear
baint	relation/involvement
garda	guard
raidió	radio
éadach	cloth/clothing
tionchar	Influence or contribution to marriage.
eagraíocht	organization
aird	attention
fáilte	welcome
aer	air
beagán	small amount
dráma	drama
caighdeán	standard
luach	value
pictiúr	picture
airgeadas	finance
coinníoll	condition
sliabh	mountain
fírinne	truth
foinse	source
ré	era
neart	1. Strength; force	 power. 2. Plenty. 3. power to prevent	 to remedy. 4. ability
comhar	cooperation
uachtarán	president
toil	will
modh	1. Mode	 manner. 2. Procedure	 method.
scríbhneoir	writer
triúr	three people
leigheas	medicine
scrúdú	exam
Nollaig	Christmas
pleanáil	planning
iontas	wonder
smaoineamh	thought
cuideachta	company
cuntas	account
creideamh	belief
aonar	individual
filíocht	poetry
baol	danger
tiarna	lord
teacht	arrival
deoch	drink
parlaimint	parliament
greim	grip
carr	1. rough surface. 2. rocky patch.
carr	car
staidéar	study
suíomh	1. Site	 location; settlement	 arrangement; establishment
dalta	pupil
faisnéis	information
costas	cost
port	tune
fianaise	evidence
droim	back
troid	fight
anam	soul
leagan	version
teagasc	teaching
cruinniú	meeting
ócáid	occasion
uimhir	(1) number; (2) numeral	 figure; (3) number in series; (4) count	 aggregate; (5) atomic number; (6) transport number; (7) size; (8) edition of a newspaper; (9) reference number; (10) telephone number; (11) singular	 plural	 number; (12) dual number; (13) even	 odd	 rational	 irrational	 composite	 real	 abstract number; (14) count of yarn
tuath	countryside
brath	[braith-VN]; 2. perception	 feeling. 3. spying betrayal. 4. brath ar (expectation	 intention; dependence)
dochtúir	doctor
ciall	sense
oidhreacht	heritage
abhainn	river
glas	lock
airde	height
foras	foundation
spéis	interest
dualgas	duty
iníon	daughter
dearmad	mistake
próiseas	process
spórt	sport
fostaíocht	employment
banc	bank
gleann	glen
litríocht	literature
polaitíocht	politics
réim	range
ráiteas	statement
iarthar	west
gnáth	custom	 usage; customary thing. 2. frequentation. 3. haunt	 resort
guth	voice
dochar	harm; hurt	 injury; loss	 distress
slua	crowd
cinneadh	decision
nuachtán	newspaper
radharc	view
cion	affection
iasc	fish
margadh	market
toghchán	election
comhaontú	agreement
diabhal	devil
socrú	arrangement
feachtas	campaign
club	club
deartháir	brother
formhór	majority
ordú	2. order. 2a. command	 injunction. 2c. normal state	 proper conditionl.
bláth	flower
nuacht	news
riachtanas	necessity
fuinneog	window
teorainn	boundary
tuiscint	understanding
taisteal	travel
malairt	change
suíochán	1. seat. 2. sitting; session
áis	1. Convenience. 2. Device; aid
ainmhí	animal
nóiméad	minute
liosta	list
caibidil	chapter
feabhas	improvement
gáir	shout
siúl	walking
carraig	rock
taca	support
trá	beach
glúin	generation/knee
stiúrthóir	director
cumarsáid	communication
maithe	goodness	 good
cnoc	hill
taighde	research
imreoir	player
aigne	mind
earra	item/article
aonad	unit
dúil	desire
saghas	kind
duais	prize
balla	wall
tábhacht	importance
oireachtas	legislature
Satharn	Saturday
comhartha	sign
mála	bag
caisleán	castle
scil	skill
saighdiúir	1. soldier. 2. Dogged	 courageous	 person.
síocháin	peace
nóta	note
taithí	experience
naoi	nine
institiúid	institution
meall	m. (gs. mill	 pl. ~ta). 1. Ball	 globe. ~ na gréine	 orb of sun. ~ súile	 eye-ball. ~ iarainn	 luaidhe	 ball of iron	 of lead. ~ sneachta	 snowball. ~ a dhéanamh de rud	 to roll sth. into a ball. 2. (a) Prominent	 fleshy	 part. ~ (coise)	 calf (of leg). Druidim an mhill	 narrowing of shank of stocking. ~ láirige	 buttock. (b) Protuberance	 projection. ~ brád	 Adam’s apple. (c) Tumour	 swelling; (pl.) mumps. ~ gorm	 carbuncle. (d)Top: Knoll	 mound. 3. Lump	 mass. ~ ime	 lump of butter. ~ ceo	 mass of fog. ~ gan chuma	 shapeless mass. ~ a dhéanamh de rudaí	 to gather things together	 in a heap. 4. ~ mór	 important person. (Agus) an ~ mór ar deireadh	 (and) last but not least.
cuspóir	purpose
stáisiún	station
vóta	(1) vote; (2) financial vote	 educational vote
glór	voice
imní	worry
gluais	vehicle
ceannaire	leader
eaglais	church
bainisteoir	manager
cathaoirleach	chairperson
eolaíocht	science
deontas	grant (as of money)
teachta	messenger
ospidéal	hospital
bille	bill
cill	church
teagmháil	contact	 communication
comhrá	conversation
foirgneamh	building
tionscal	industry
tada	2. iota	 jot	 whit	 tittle
tuarascáil	report
rialachán	regulation
cloigeann	head
paróiste	parish
aidhm	aim/goal
trua	1. pity. 2. miserable person	 wretch. 3. lean meat
gáire	laugh
cló	type/print
éan	bird
gearán	complaint
buíochas	thanks
eachtra	adventure
adhmad	"1. wood
2. material
3. rhetorical device"
poll	hole
scríbhinn	writing
spéir	sky
scór	score
milliún	million
ioncam	income
leathanach	page
ráta	rate
gaol	relation
breac	trout; fish
timpeallacht	environment
easpa	lack
galar	disease
gasúr	1. Boy. 2. Youngster	 child
deacracht	difficulty
oiliúint	2. Nutrition	 nourishment. 3. Nurture	 upbringing	 fostering care. 4. training	 coaching
caidreamh	relationship
Márta	March
iarrthóir	candidate
bosca	box
peil	football
aitheantas	recognition
traidisiún	tradition
réimse	1. stretch	 tract. 2. range	 field
Luan	Monday
ceangal	connection
caiteachas	expenditure
punt	pound
gluaiseacht	movement
poblacht	republic
beartas	policy
cath	battle
urlár	(1) floor; (2) one-storey house; (3) level surface; (4) bottom surface; (5) sill
triail	trial
seasamh	standing/position
fuinneamh	energy
béim	emphasis
tóir	pursuit
éisteacht	listening
cothrom	balance
cál	cabbage
bainistíocht	management
fostaí	employee
brú	pressure
taifead	record
bunscoil	primary school
eas	waterfall
saothraigh	(1) of saothrach
scoláire	scholar
léiriú	1. [léirigh-VN]. 2. representation	 clarification	 illustration
binn	peak
Aibreán	April
éifeacht	effect
buille	blow
dóthain	enough	 sufficiency
máistir	master
tor	A. bush	 shrub. B. tall rock; tower
croch	cross/gallows
fórsa	force
ord	order
comhdháil	conference
taoiseach	prime minister
madra	dog
seilbh	possession
óige	youth
laoch	hero
sliocht	descendant	 offspring
comhairleoir	counselor
fine	kin
long	ship
gloine	glass
breithiúnas	judgment
craiceann	skin
cosc	prohibition
tionscadal	project
iasacht	loan
iamh	confinement
leasú	amendment
limistéar	area
Eanáir	January
cósta	coast
babhta	round
éileamh	demand
ionsaí	attack
ionadh	wonder
teas	heat
méad	quantity
aíocht	milk
tionscnamh	2. Beginning	 origin; introduction	 initiation; institution	 establishment.
cóip	copy
tae	tea
cáilíocht	qualification
rás	race
bróg	shoe
breith	birth
cruth	shape/form
áthas	joy
tuilleadh	"Act of adding	 increasing
Addition	 increase
More (in various contexts)"
téacs	text
muir	sea
taispeántas	exhibition
feirm	farm
seal	time/period
struchtúr	structure
iris	magazine
príosún	prison
smacht	control
muc	pig
halla	hall
ealaíontóir	artist
agallamh	interview
réiteach	solution
féar	grass
comhthéacs	context
ról	role
eol	m. (gs. eoil). 1 = eolas. 2 = iúl. 3. (With copula) Is ~ dom (go)	 I know (that). Is ~ do chách	 don saol	 (go)	 everyone knows (that). Mar is ~ duit	 as you know. Déan é mar is ~ duit	 do it as best you know. Ní h~ dó a athrach	 a mhalairt	 he knows no better.
iompar	transport
feirmeoir	farmer
cosúlacht	likeness
faitíos	"1. Fear	 apprehension.
2. Timidity	 shyness."
saoire	holiday
póca	pocket
comhluadar	company (companionship)
dóchas	hope
teannta	strait	 difficulty	 predicament; (2) prop 	support (3) foothold	 grip
gléas	"A. glaze	 gloss.
B. 1. Order	 adjustment	 arrangement. 2. device"
léitheoir	reader
náisiún	nation
bréag	lie
gunna	gun
bus	bus
carn	heap
fán	2. straying	 wandering vagrancy. 3. turning aside. 4. sparsity
caora	sheep
infheistíocht	investment
planda	plant
ceadúnas	license
coimisinéir	commissioner
moill	delay	 stop	 hindrance
cine	kind/type
déanaí	lateness
stiúir	helm
spás	space
cnámh	bone
rabh	saw
bainne	milk
druga	drug
cárta	card
Críost	Christ
son	pleasure
achar	distance
ubh	(f.) (1) egg; (2) hen's egg	 goose's egg	 duck's egg; (3) seagull's egg	 sparrow's egg; (4) boiled egg; (5) soft-boiled egg	 hard-boiled egg; (6) poached egg; (7) scrambled egg; (8) shell-less egg; (Var: m.)
polaiteoir	politician
ollamh	professor
cúige	province
uachtar	cream
comparáid	comparison
séipéal	chapel
gruaig	hair
gort	field
deirfiúr	sister
Aifreann	mass
ríocht	kingdom
praghas	price
glacadh	[glac-VN] 2. acceptance. 3. handling	 grasping	 seizure
reachtaíocht	legislation
oibriú	[oibriú-VN] 2. working; operation	 activity.
geimhreadh	winter
léargas	insight
iarraidh	request
muinín	trust
curaclam	curriculum
buidéal	bottle
ae	liver.
easpag	bishop
fostóir	employer
stádas	status
sruth	stream
abar	bog.
díospóireacht	debate
pearsa	person
feoil	meat
droichead	bridge
breitheamh	judge
tábhairne	tavern/pub
táille	fee/fare
cat	cat
locht	fault
éadan	front
móin	peat
meon	"Mind	 disposition
Character	 temperament
Spirit of the age"
rúnaí	secretary
réigiún	region
slat	rod
cros	cross
difríocht	difference
mainistir	monastery
dearcadh	Sorrow	 grief
Feabhra	February
úrscéal	(m.) (1) novel;
staid	State
corn	horn
dúiche	Duke
scéala	Story	 news
prionsabal	principle
rian	Path	 track
blas	Taste
ceathrar	four
tréith	trait
lear	"    { ""word"": ""lear 1""	 ""overview_definition"": ""(noun) sea or ocean; (adverb) across or beyond the sea	 overseas.""}	
    { ""word"": ""lear 2""	 ""overview_definition"": ""(noun) defect or failing; shortcoming.""}	
    { ""word"": ""lear 3""	 ""overview_definition"": ""(noun) great number or amount.""}"
aiste	essay.
eacnamaíocht	economics
scoth	(noun) flower or blossom; (noun) choice or pick; (noun) tuft or bunch; (noun) bundle or sheaf; (noun) algae; (noun) arrangement or cut; (noun) point or tip; (noun) projection or ridge; (noun) chip or splinter; (noun) branch of family; (noun) speech or utterance; (noun) air or tune; (prefix) semi- or medium-; (prefix) tufted.
ola	oil
brón	sorrow
draíocht	Magic	 enchantment
liúntas	Flattery
tóin	bottom
deisceart	south; southern part
cathaoir	chair
druid	Druid
traein	train
ciste	fund
téama	theme
aisteoir	actor
leabharlann	Library
traenáil	Train (as in railway)
abairt	sentence
sochar	Benefit	 advantage
cluais	Hear
ocras	Hunger
fáil	Opportunity	 chance
báisteach	rain
soláthar	supply
déanamh	To do	 make
faoiseamh	Relief
stán	Dung	 excrement
bráthair	brother
eagarthóir	Editor
dícheall	best endeavor
rá	Speech	 talk
cíos	rent
éag	Lack	 shortage
daonra	Population
ionadaí	representative
póilín	Penny
nasc	Link	 connection
gradam	Grade	 level
maígh	Midge (a small fly)
boladh	smell
gnóthach	Busy
trádáil	Trade
arán	bread
deoir	tear
ceathrú	quarter
tógáil	Construction
spiorad	Spirit
sonra	detail
cainteoir	speaker
croith	Frost
caitheamh	Clothing
drámaíocht	drama
tobar	well
sábháil	Preservation
dear	Pure	 chaste
comharsa	neighbor
crom	Bent	 crooked
buntáiste	Benefit
rannóg	Section	 part
léim	jump
eagras	organization
pósadh	Marriage
béile	meal
cré	clay
bearna	gap
magadh	mockery
suí	(noun) a sitting position; (noun) a state of being arisen; (noun) a session; (noun) a seat or location; (noun) a situation or position; (noun) squatting or encampment; (noun) a hen sitting on eggs; (noun) a determined state; (noun) letting of land or houses; (noun) buttocks.
aistriúchán	translation.
coill	forest
bolg	Spear
óstán	hotel
maoin	Wealth	 property
iomaíocht	Competition
scar	Scar
mullach	Summit
leithscéal	excuse
achan	(noun) every one; (noun) each.
ceoltóir	musician
coitinne	Evening
earnáil	Sector	 area
náire	shame
bunús	Foundation
amárach	Tomorrow
pinsean	Penance
ionannas	Equality
tromlach	Greater part	 main body	 majority.
rinn	point
sách	(noun) a well-fed person;
moladh	Praise
scáth	shadow
Samhain	(Proper Noun - Festival)
fíon	wine
fód	sod
leathnaigh	Half-grown
cladach	seashore
dian	Sharp	 fierce
ára	Price
fiacail	tooth
raon	Range
ádh	luck.
barúil	opinion
sos	break
bunadh	Growth	 increase
séan	Old
síol	seed
méadú	Increase
craol	Draught	 draft
marc	mark
sinsear	Ancestor
imeall	border	 edge
íomhá	1. image	 statue. 2. likeness	 representation	 reflection.
Íosa	Jesus
othar	patient
saibhir	Wealthy
taithigh	Journey
gualainn	shoulder
béaloideas	Folklore
tríocha	Thirty
uirlis	(f.) (1) tool	 implement
codladh	sleep
iascaireacht	Fishing
aicme	1. Genus; class. 2. Family	 tribe. 3. Set	 clique. 4. Mth: Denomination.
monarcha	factory
staighre	Station
fiontar	venture
fuaim	sound
teicneolaíocht	technology
cúinne	corner
machnamh	Reflection	 thought
amharclann	Cinema
caomhnaigh	To cultivate
gairm	profession
cistin	kitchen
iarann	Iron
seanchas	Tradition	 lore
straitéis	Strategy
Déardaoin	Thursday
tost	Toast
tuarastal	salary
sochaí	Society
iriseoir	Journalist
cúnamh	Help	 assistance
gealach	Moon
olltoghchán	University student
asal	donkey
turasóireacht	Tourism
leanúint	(noun) following	 pursuit	 adherence	 continuation; 
inne	Oven
báire	Mirror
Protastúnach	Protestant
coimhlint	race	 contest; rivalry	 competition
dearbhú	Confirmation
pá	Peer	 lord
ucht	(1) m. chest	 breast	 bosom; (2) lap; (3) upper front; (4) to set about doing something; (5) for the sake of	 on account of; (6) facing	 in face of; (7) in front of	 before	 in anticipation of.
aithris	narration.
trioblóid	Trouble
óglach	Recruit
fairsing	Generosity
aill	cliff
earrach	spring
todhchaí	Future.
ceird	craft; trade	 skill
achomharc	appeal.
aos	1. People	 folk. 
riarachán	Carriage
maolaigh	Uncanny
slándáil	Safety	 security
greann	Humor
briathar	verb
Críostaí	Christian
tairbhe	Benefit
cúiteamh	Tribute
geata	gate
doiciméad	Document
íocaíocht	payment
tíor	Wild animal
damhsa	dance
pioc	Pick
beannaigh	Blessing
talmhaíocht	Herbalism
liath	Grey
Albain	Scotland
namhaid	enemy
léitheoireacht	Reading
ceacht	lesson
sásaigh	To kiss
maide	Stick	 bar	 beam.
carachtar	character
tithíocht	Housing
claí	hedge
oirthear	South-west
stór	Treasure
bunreacht	constitution
saoránach	citizen
ciontach	Precious
iomarca	Abundance
bruach	bank (of a river)
táirge	product
triall	Traffic
éagsúlacht	Diversity
tuar	sign; omen
uaigh	grave
feidhmeannach	Functional
rath	Prosperity
méar	finger
cuntais	County
eagrán	Edition
faic	Vision
póg	kiss
tiomáin	Carriage
scairt	Scarf
cruinne	World
suaimhneas	Peace
pingin	penny
tart	Sour
láithreán	Site	 location
pléasc	Arena
gairdín	garden
freagracht	Responsibility
cluin	Ear (dialect)
cosaint	Protection
acmhainn	1. Capacity	 endurance. 2. means	 resources
sneachta	Snow
dabht	Doubt
braon	1. drop. 2. pus.
ceal	Veil
fáinne	ring
bail	Court	 jurisdiction
uafás	Panic
figiúr	figure
reifreann	Referee
mothúchán	Emotion
tráigh	Strand	 beach
tábla	table
plé	Discussion
lón	Lunch
urlabhra	(1) faculty of speech	 speech	 utterance; (2) manner of speech	 diction
folach	Hidden
sábháilteacht	Safety
tréan	Strong
banna	Window
sprioc	Goal	 target
cairt	Card
aonach	fair
ualach	(1) load	 burden; (2) horse-load; (3) back-load; (4) load of hay	 coal	 sand; (5) burden of sorrow	 care; (6) no encumbrance; (7) in mechanics	 load.
reilig	cemetery
áitreabh	Library
cluas	ear
binse	Bin	 trash can
anáil	breath
leataobh	To lie down
art	Art
neamh	Heavenly
fiosraigh	To investigate
nádúr	Nature
contúirt	danger
colainn	body (living)
lom	Pale	 faint
tonn	wave
cosán	path
ardán	stage/platform
séid	Seaweed
néal	cloud
feadh	Duration
gréasán	1. Web.
grianghraf	photograph
séasúr	season
dromchla	top	 ridge	 crest; (raised) surface
fearg	(noun) anger; (noun) irritation; (noun) elemental fury.
ceo	mist
cúlra	(noun) background; (noun) ground(work) in painting or tapestry.
aisce	favor.
áras	(noun) a habitation or abode; (noun) a house or building; (noun) a vessel; (noun) refers to the uterus or womb.
cnuasach	collection
meánscoil	secondary school
ríomhaire	(noun) a counter or enumerator; a calculator; a computer.
clú	fame
tinneas	illness
peann	pen
donn	(noun) brown (colour)	 a brown animal	 hard brown timber;
sceideal	(noun) a plan or timetable for events; (noun) a flurry or excitement.
Gaeilgeoir	Irish speaker
seoladh	(noun) a form of sailing or sail; (noun) course or direction; guidance; (noun) opening statement; (noun) address; (noun) conduction; (noun) guide.
teastas	1. (literary) testimony. 2. testimonial	 certificate. 3. report	 reputation.
srian	bridle
pian	pain
uaigneas	(noun) loneliness or solitude; (noun) a lonely place; (noun) state of being alone; (noun) feeling of loneliness; (noun) fear of being alone or the dark; (noun) seclusion or privacy.
clúdach	cover
coinbhinsiún	(noun) a convention.
gair	(noun) a call or shout
gin	(noun) begetting or birth; (noun) foetus; (noun) procreated being	 child	 or offspring; (noun) generating source;
dinnéar	dinner
cian	(noun) length of time or age; (noun) distance or distant place; (noun) sadness or melancholy; (adjective) long; (adjective) distant; (prefix) indicating long or remote.
aréir	(adverb) last night; (noun) refers to the previous night; (adjective) used in expressions related to the previous night.
úinéir	(m.) (1) owner; (2) proprietor
saibhreas	(noun) riches or wealth; (noun) richness	 as in the richness of soil or minerals.
duilleog	(noun) a leaf; specifically	 it can refer to leaves of trees	 hats	 tables	 tea	 tobacco	 seaweed	 or books.
aice	proximity	 lobsterhole.
claon	inclination
teampall	temple
míchumas	(noun) inability or incapacity; (noun) total disablement; (noun) disability in legal context.
gorta	(noun) hunger or famine; (noun) meanness or niggardliness.
fiach	1. debt. 2. offence. 3. cost	 price. 4. obligation.
cóta	coat
custaiméir	customer
cleachtas	(noun) practice; (noun) the practice of the courts.
dlúth	(noun) a term for warp in weaving
caoga	fifty
leacht	1. grave	 grave-mound. 2. memorial cairn. 4. heap	 mound; large amount
leacht	liquid
cluain	meadow
admháil	confession
scéalaí	storyteller
culaith	suit
manach	(noun) a monk; (historical) a tenant of church land.
cleachtadh	(noun) a form of habit or custom; (noun) practice or experience in a skill; (noun) rehearsal; (noun) exercise.
tráchtáil	(noun) act of trading; trade	 commerce.
géag	branch/limb
míniú	(noun) explanation or interpretation; (verb) the verbal noun of mínigh.
taisce	(noun) a store or treasure; (noun) a storehouse or treasury; (noun) a deposit	 such as in a bank; (term of endearment) a term of affection meaning 'my dear'.
goid	(noun) theft or larceny; (verb) to take away or remove; to steal something from someone.
cuan	harbor
argóint	argument
éad	(noun) jealousy; envy	 emulation; (verb) to be jealous of someone.
spraoi	(noun) fun or sport; (verb) to play or have fun.
leictreachas	(noun) electricity.
cáipéis	document
leis	(noun) thigh; (noun) leg	 haunch; (adverb) also; (adverb) too	 either; (adverb) uncovered	 exposed.
cách	(noun) everyone; (noun) being	 person.
inneall	(noun) arrangement or adjustment; (noun) furnishings or attire; (noun) proper state or condition; (noun) contrivance or trap; (noun) machine or engine.
inmheánach	(noun) inner parts of the body;
athuair	(noun) a second time;
jab	(noun) a job or piece of work; (noun) employment or post.
péire	"péire1	 m. (gs. ~	 pl. -rí). Pair. 1. ~ bróg	 lámhainní	 piostal	 pair of shoes	 of gloves	 of pistols. ~ capall	 pair of horses (in harness). Cuir ina bpéirí iad	 arrange them in pairs. Ní ~ a chéile iad	 they are not a pair. 2. (Of persons) Is deas an ~ iad	 they make a nice pair. Péirí a dhéanamh	 to pair off.
péire2	 m. (gs. ~).Milt.
péire3	 m. (gs. ~	 pl. -rí). Pear."
lóistín	accommodation
buiséad	(noun) a financial plan or budget;
taitneamh	(noun) shine or brightness; (noun) liking or enjoyment.
teachtaireacht	(noun) a message or errand;
foclóir	dictionary
cruach	stack
rince	dance
pápa	(noun) the Pope.
pota	pot
dúchasach	(noun) a hereditary proprietor or head of a community; (noun) a hereditary follower; (noun) a native or inhabitant;
cearnóg	square
sil	(noun) a drip or trickle;
barra	bar
léarscáil	(noun) a representation of an area	 typically showing geographical features; (noun) a wall-map; (noun) a grid-map; (noun) a road-map; (noun) a contour map; (noun) a skeletal map; (noun) the map of the world.
páirtíocht	(noun) partnership; fellowship	 association; (phrase) for my part	 as far as I am concerned.
bailiúchán	(noun) a collection; (noun) an act of gathering.
cearc	hen
or	(noun) a prefix used to denote something original or primary;
sráidbhaile	(noun) a village.
gás	(noun) a substance in a gaseous state; (noun) paraffin oil.
banríon	queen
Giúdach	(noun) a Jew; (adjective) Jewish.
casadh	(noun) a twist or turn; (verb) to twist or turn something.
tapa	(noun) quickness	 readiness	 speed; (adjective) quick	 ready	 active.
fríd	(noun) a flesh-worm or mite; a diminutive thing or the least little bit of something; (noun) a faint smile.
arb	(noun) a term used in Irish slang	 often referring to a person or a thing in a casual or informal context.
scuab	(noun) a besom or broom; (noun) a brush for various uses; (noun) a sheaf or bundle; (noun) a sweeping gust of wind; (verb) to sweep or clean a surface.
eastát	(noun) an estate	 particularly in legal or historical contexts; refers to types of estates such as personal	 real	 or qualified.
saineolaí	expert
beannacht	blessing
